;date;Confinement ;Phase;Phase
348;2020-09-15 12:00:00;0;1ère phase;0
349;2020-09-15 13:00:00;0;1ère phase;0
350;2020-09-15 14:00:00;0;1ère phase;0
351;2020-09-15 15:00:00;0;1ère phase;0
352;2020-09-15 16:00:00;0;1ère phase;0
353;2020-09-15 17:00:00;0;1ère phase;0
354;2020-09-15 18:00:00;0;1ère phase;0
355;2020-09-15 19:00:00;0;1ère phase;0
356;2020-09-15 20:00:00;0;1ère phase;0
357;2020-09-15 21:00:00;0;1ère phase;0
358;2020-09-15 22:00:00;0;1ère phase;0
359;2020-09-15 23:00:00;0;1ère phase;0
360;2020-09-16 00:00:00;0;1ère phase;0
361;2020-09-16 01:00:00;0;1ère phase;0
362;2020-09-16 02:00:00;0;1ère phase;0
363;2020-09-16 03:00:00;0;1ère phase;0
364;2020-09-16 04:00:00;0;1ère phase;0
365;2020-09-16 05:00:00;0;1ère phase;0
366;2020-09-16 06:00:00;0;1ère phase;0
367;2020-09-16 07:00:00;0;1ère phase;0
368;2020-09-16 08:00:00;0;1ère phase;0
369;2020-09-16 09:00:00;0;1ère phase;0
370;2020-09-16 10:00:00;0;1ère phase;0
371;2020-09-16 11:00:00;0;1ère phase;0
372;2020-09-16 12:00:00;0;1ère phase;0
373;2020-09-16 13:00:00;0;1ère phase;0
374;2020-09-16 14:00:00;0;1ère phase;0
375;2020-09-16 15:00:00;0;1ère phase;0
376;2020-09-16 16:00:00;0;1ère phase;0
377;2020-09-16 17:00:00;0;1ère phase;0
378;2020-09-16 18:00:00;0;1ère phase;0
379;2020-09-16 19:00:00;0;1ère phase;0
380;2020-09-16 20:00:00;0;1ère phase;0
381;2020-09-16 21:00:00;0;1ère phase;0
382;2020-09-16 22:00:00;0;1ère phase;0
383;2020-09-16 23:00:00;0;1ère phase;0
384;2020-09-17 00:00:00;0;1ère phase;0
385;2020-09-17 01:00:00;0;1ère phase;0
386;2020-09-17 02:00:00;0;1ère phase;0
387;2020-09-17 03:00:00;0;1ère phase;0
388;2020-09-17 04:00:00;0;1ère phase;0
389;2020-09-17 05:00:00;0;1ère phase;0
390;2020-09-17 06:00:00;0;1ère phase;0
391;2020-09-17 07:00:00;0;1ère phase;0
392;2020-09-17 08:00:00;0;1ère phase;0
393;2020-09-17 09:00:00;0;1ère phase;0
394;2020-09-17 10:00:00;0;1ère phase;0
395;2020-09-17 11:00:00;0;1ère phase;0
396;2020-09-17 12:00:00;0;1ère phase;0
397;2020-09-17 13:00:00;0;1ère phase;0
398;2020-09-17 14:00:00;0;1ère phase;0
399;2020-09-17 15:00:00;0;1ère phase;0
400;2020-09-17 16:00:00;0;1ère phase;0
401;2020-09-17 17:00:00;0;1ère phase;0
402;2020-09-17 18:00:00;0;1ère phase;0
403;2020-09-17 19:00:00;0;1ère phase;0
404;2020-09-17 20:00:00;0;1ère phase;0
405;2020-09-17 21:00:00;0;1ère phase;0
406;2020-09-17 22:00:00;0;1ère phase;0
407;2020-09-17 23:00:00;0;1ère phase;0
408;2020-09-18 00:00:00;0;1ère phase;0
409;2020-09-18 01:00:00;0;1ère phase;0
410;2020-09-18 02:00:00;0;1ère phase;0
411;2020-09-18 03:00:00;0;1ère phase;0
412;2020-09-18 04:00:00;0;1ère phase;0
413;2020-09-18 05:00:00;0;1ère phase;0
414;2020-09-18 06:00:00;0;1ère phase;0
415;2020-09-18 07:00:00;0;1ère phase;0
416;2020-09-18 08:00:00;0;1ère phase;0
417;2020-09-18 09:00:00;0;1ère phase;0
418;2020-09-18 10:00:00;0;1ère phase;0
419;2020-09-18 11:00:00;0;1ère phase;0
420;2020-09-18 12:00:00;0;1ère phase;0
421;2020-09-18 13:00:00;0;1ère phase;0
422;2020-09-18 14:00:00;0;1ère phase;0
423;2020-09-18 15:00:00;0;1ère phase;0
424;2020-09-18 16:00:00;0;1ère phase;0
425;2020-09-18 17:00:00;0;1ère phase;0
426;2020-09-18 18:00:00;0;1ère phase;0
427;2020-09-18 19:00:00;0;1ère phase;0
428;2020-09-18 20:00:00;0;1ère phase;0
429;2020-09-18 21:00:00;0;1ère phase;0
430;2020-09-18 22:00:00;0;1ère phase;0
431;2020-09-18 23:00:00;0;1ère phase;0
432;2020-09-19 00:00:00;0;1ère phase;0
433;2020-09-19 01:00:00;0;1ère phase;0
434;2020-09-19 02:00:00;0;1ère phase;0
435;2020-09-19 03:00:00;0;1ère phase;0
436;2020-09-19 04:00:00;0;1ère phase;0
437;2020-09-19 05:00:00;0;1ère phase;0
438;2020-09-19 06:00:00;0;1ère phase;0
439;2020-09-19 07:00:00;0;1ère phase;0
440;2020-09-19 08:00:00;0;1ère phase;0
441;2020-09-19 09:00:00;0;1ère phase;0
442;2020-09-19 10:00:00;0;1ère phase;0
443;2020-09-19 11:00:00;0;1ère phase;0
444;2020-09-19 12:00:00;0;1ère phase;0
445;2020-09-19 13:00:00;0;1ère phase;0
446;2020-09-19 14:00:00;0;1ère phase;0
447;2020-09-19 15:00:00;0;1ère phase;0
448;2020-09-19 16:00:00;0;1ère phase;0
449;2020-09-19 17:00:00;0;1ère phase;0
450;2020-09-19 18:00:00;0;1ère phase;0
451;2020-09-19 19:00:00;0;1ère phase;0
452;2020-09-19 20:00:00;0;1ère phase;0
453;2020-09-19 21:00:00;0;1ère phase;0
454;2020-09-19 22:00:00;0;1ère phase;0
455;2020-09-19 23:00:00;0;1ère phase;0
456;2020-09-20 00:00:00;0;1ère phase;0
457;2020-09-20 01:00:00;0;1ère phase;0
458;2020-09-20 02:00:00;0;1ère phase;0
459;2020-09-20 03:00:00;0;1ère phase;0
460;2020-09-20 04:00:00;0;1ère phase;0
461;2020-09-20 05:00:00;0;1ère phase;0
462;2020-09-20 06:00:00;0;1ère phase;0
463;2020-09-20 07:00:00;0;1ère phase;0
464;2020-09-20 08:00:00;0;1ère phase;0
465;2020-09-20 09:00:00;0;1ère phase;0
466;2020-09-20 10:00:00;0;1ère phase;0
467;2020-09-20 11:00:00;0;1ère phase;0
468;2020-09-20 12:00:00;0;1ère phase;0
469;2020-09-20 13:00:00;0;1ère phase;0
470;2020-09-20 14:00:00;0;1ère phase;0
471;2020-09-20 15:00:00;0;1ère phase;0
472;2020-09-20 16:00:00;0;1ère phase;0
473;2020-09-20 17:00:00;0;1ère phase;0
474;2020-09-20 18:00:00;0;1ère phase;0
475;2020-09-20 19:00:00;0;1ère phase;0
476;2020-09-20 20:00:00;0;1ère phase;0
477;2020-09-20 21:00:00;0;1ère phase;0
478;2020-09-20 22:00:00;0;1ère phase;0
479;2020-09-20 23:00:00;0;1ère phase;0
480;2020-09-21 00:00:00;0;1ère phase;0
481;2020-09-21 01:00:00;0;1ère phase;0
482;2020-09-21 02:00:00;0;1ère phase;0
483;2020-09-21 03:00:00;0;1ère phase;0
484;2020-09-21 04:00:00;0;1ère phase;0
485;2020-09-21 05:00:00;0;1ère phase;0
486;2020-09-21 06:00:00;0;1ère phase;0
487;2020-09-21 07:00:00;0;1ère phase;0
488;2020-09-21 08:00:00;0;1ère phase;0
489;2020-09-21 09:00:00;0;1ère phase;0
490;2020-09-21 10:00:00;0;1ère phase;0
491;2020-09-21 11:00:00;0;1ère phase;0
492;2020-09-21 12:00:00;0;1ère phase;0
493;2020-09-21 13:00:00;0;1ère phase;0
494;2020-09-21 14:00:00;0;1ère phase;0
495;2020-09-21 15:00:00;0;1ère phase;0
496;2020-09-21 16:00:00;0;1ère phase;0
497;2020-09-21 17:00:00;0;1ère phase;0
498;2020-09-21 18:00:00;0;1ère phase;0
499;2020-09-21 19:00:00;0;1ère phase;0
500;2020-09-21 20:00:00;0;1ère phase;0
501;2020-09-21 21:00:00;0;1ère phase;0
502;2020-09-21 22:00:00;0;1ère phase;0
503;2020-09-21 23:00:00;0;1ère phase;0
504;2020-09-22 00:00:00;0;1ère phase;0
505;2020-09-22 01:00:00;0;1ère phase;0
506;2020-09-22 02:00:00;0;1ère phase;0
507;2020-09-22 03:00:00;0;1ère phase;0
508;2020-09-22 04:00:00;0;1ère phase;0
509;2020-09-22 05:00:00;0;1ère phase;0
510;2020-09-22 06:00:00;0;1ère phase;0
511;2020-09-22 07:00:00;0;1ère phase;0
512;2020-09-22 08:00:00;0;1ère phase;0
513;2020-09-22 09:00:00;0;1ère phase;0
514;2020-09-22 10:00:00;0;1ère phase;0
515;2020-09-22 11:00:00;0;1ère phase;0
516;2020-09-22 12:00:00;0;1ère phase;0
517;2020-09-22 13:00:00;0;1ère phase;0
518;2020-09-22 14:00:00;0;1ère phase;0
519;2020-09-22 15:00:00;0;1ère phase;0
520;2020-09-22 16:00:00;0;1ère phase;0
521;2020-09-22 17:00:00;0;1ère phase;0
522;2020-09-22 18:00:00;0;1ère phase;0
523;2020-09-22 19:00:00;0;1ère phase;0
524;2020-09-22 20:00:00;0;1ère phase;0
525;2020-09-22 21:00:00;0;1ère phase;0
526;2020-09-22 22:00:00;0;1ère phase;0
527;2020-09-22 23:00:00;0;1ère phase;0
528;2020-09-23 00:00:00;0;1ère phase;0
529;2020-09-23 01:00:00;0;1ère phase;0
530;2020-09-23 02:00:00;0;1ère phase;0
531;2020-09-23 03:00:00;0;1ère phase;0
532;2020-09-23 04:00:00;0;1ère phase;0
533;2020-09-23 05:00:00;0;1ère phase;0
534;2020-09-23 06:00:00;0;1ère phase;0
535;2020-09-23 07:00:00;0;1ère phase;0
536;2020-09-23 08:00:00;0;1ère phase;0
